label,timestamp,duration,pkg,dram,socket
foo,1683791611.579933,52.894,0.0,0.0,0
foo,1683791645.1689336,54.341,0.0,0.0,0
foo,1683791645.1695242,48.741,6958.0,1098.0,0
foo,1683791645.1698008,46.633,0.0,0.0,0
foo,1683791645.169956,25.251,0.0,0.0,0
foo,1683791645.170079,24.506,0.0,0.0,0
foo,1683791645.1701863,24.155,0.0,0.0,0
foo,1683791645.170293,24.121,0.0,0.0,0
foo,1683791645.1703992,23.872,0.0,0.0,0
foo,1683791645.1705048,23.982,7203.0,1038.0,0
foo,1683791645.1706111,24.431,0.0,0.0,0
foo,1683791645.1707177,37.313,0.0,0.0,0
foo,1683791645.170836,37.57,0.0,0.0,0
foo,1683791645.1709554,24.366,0.0,0.0,0
foo,1683791645.1710699,24.423,0.0,0.0,0
foo,1683791645.1711762,23.911,0.0,0.0,0
foo,1683791645.1712945,53.764,0.0,0.0,0
foo,1683791645.1714182,24.016,0.0,0.0,0
foo,1683791645.17151,24.135,7629.0,0.0,0
foo,1683791645.1716015,23.93,0.0,0.0,0
foo,1683791645.1716928,24.08,0.0,0.0,0
foo,1683791645.1717846,23.925,0.0,0.0,0
foo,1683791645.171875,23.789,0.0,0.0,0
foo,1683791645.1719658,23.601,0.0,0.0,0
foo,1683791645.1720562,23.687,0.0,0.0,0
foo,1683791645.172147,23.977,0.0,0.0,0
foo,1683791645.172239,24.11,0.0,0.0,0
foo,1683791645.1723359,24.179,0.0,0.0,0
foo,1683791645.172428,23.891,0.0,0.0,0
foo,1683791645.1725194,23.793,8667.0,1037.0,0
foo,1683791645.1726153,24.437,0.0,0.0,0
foo,1683791645.172708,24.294,0.0,0.0,0
foo,1683791645.1728,24.166,0.0,0.0,0
foo,1683791645.1728919,23.797,0.0,0.0,0
foo,1683791645.1729841,23.816,0.0,0.0,0
foo,1683791645.173075,23.781,0.0,0.0,0
foo,1683791645.1731706,24.25,0.0,0.0,0
foo,1683791645.1732628,23.935,0.0,0.0,0
foo,1683791645.1733556,23.785,0.0,0.0,0
foo,1683791645.1734483,23.856,0.0,0.0,0
foo,1683791645.1735399,24.325,0.0,0.0,0
foo,1683791645.1736364,24.242,0.0,0.0,0
foo,1683791645.1737285,24.054,0.0,0.0,0
foo,1683791645.1738203,23.955,0.0,0.0,0
foo,1683791645.1739125,24.088,0.0,0.0,0
foo,1683791645.1740048,24.104,0.0,0.0,0
foo,1683791645.1740978,24.039,0.0,0.0,0
foo,1683791645.1741903,24.01,0.0,0.0,0
foo,1683791645.1742837,23.775,0.0,0.0,0
foo,1683791645.174376,23.77,0.0,0.0,0
foo,1683791645.1744692,23.644,0.0,0.0,0
foo,1683791645.1745617,23.778,0.0,0.0,0
foo,1683791645.1746545,23.994,0.0,0.0,0
foo,1683791645.174747,23.771,0.0,0.0,0
foo,1683791645.1748435,24.155,0.0,0.0,0
foo,1683791645.174937,23.737,0.0,0.0,0
foo,1683791645.1750305,23.852,0.0,0.0,0
foo,1683791645.1751237,23.843,0.0,0.0,0
foo,1683791645.1752162,23.916,0.0,0.0,0
foo,1683791645.1753144,24.544,0.0,0.0,0
foo,1683791645.1754084,23.947,0.0,0.0,0
foo,1683791645.1755013,23.829,8545.0,977.0,0
foo,1683791645.175593,23.944,0.0,0.0,0
foo,1683791645.1756852,24.0,0.0,0.0,0
foo,1683791645.1757782,24.143,0.0,0.0,0
foo,1683791645.1758714,23.844,0.0,0.0,0
foo,1683791645.1759644,23.828,0.0,0.0,0
foo,1683791645.176061,24.081,0.0,0.0,0
foo,1683791645.176172,24.173,0.0,0.0,0
foo,1683791645.176291,23.622,0.0,0.0,0
foo,1683791645.1763952,23.713,0.0,0.0,0
foo,1683791645.1765132,23.714,8423.0,915.0,0
foo,1683791645.1766055,23.794,0.0,0.0,0
foo,1683791645.1767373,23.855,0.0,0.0,0
foo,1683791645.1768425,23.713,0.0,0.0,0
